artist,album,variant,price_rub,seller,seller_reviews,kind,note,screen_ts,source
Michael Jackson,Number Ones,2LP,5500,Stanislav.Vinyl,6639,wrong_album,,2026-09-07T00:30,avito
Michael Jackson,Number Ones,2LP,3990,Сергей,204,wrong_album,,2026-09-07T00:30,avito
Michael Jackson,Michael,2LP,4500,Мир Винила,42,wrong_album,Songs From The Motion Picture,2026-09-07T00:30,avito
Queen,Greatest Hits,2LP,5050,Андрей,441,single,,2026-09-07T00:36,avito
Queen,Greatest Hits,2LP half-speed 180g,5790,Алексей,1414,single,ремастер Abbey Road,2026-09-07T00:36,avito
Queen,Greatest Hits,2LP,4500,JadeWay,41,single,,2026-09-07T00:37,avito
Queen,Greatest Hits,2LP Walmart exclusive,6100,Horizon Vinyl,423,special,цветной эксклюзив,2026-09-07T00:36,avito
Queen,Greatest Hits,2LP Limited Red,6741,Коробка винила,933,special,со скидкой с 7490,2026-09-07T00:36,avito
Queen,Greatest Hits,2LP Ruby Blend,6200,Greetings from,431,special,цветной,2026-09-07T00:37,avito
Queen,Greatest Hits,LP б/у EMI,1500,Комиссионка,1050,used,потрёпанный конверт,2026-09-07T00:36,avito
Queen,Greatest Hits,LP б/у EMI,2213,Василий,191,used,забронировано,2026-09-07T00:36,avito
Queen,Greatest Hits,LP б/у EMI,1333,Леонид,29,used,забронировано,2026-09-07T00:37,avito
Queen,Greatest Hits II,2LP,5366,Пластиночная N1,137,single,другая цель палитры,2026-09-07T00:36,avito
Queen,Greatest Hits II,2LP clear exclusive,5500,Шкаф винила,1074,special,другая цель палитры,2026-09-07T00:37,avito
Queen,The Best,LP,2499,HMV record shop,90,wrong_album,другой сборник,2026-09-07T00:36,avito
Queen,Greatest Hits,LP,1900,Игорь,879,lot,"лот из четырёх: 2x Queen GH, Pink Floyd, Dire Straits",2026-09-07T00:36,avito
Queen,Greatest Hits,LP,3340,TradeX,224,doubtful,на фото обложка не Greatest Hits,2026-09-07T00:37,avito
